id	ocvsId	cloud	raHms	decDms	distanceModulus	distanceModulusStatError	distanceModulusSystematicError	distanceKpc	distanceKpcError	centerCorrectionMag	sourceId	quality	periodDays	t0Hjd	primaryRadiusSolar	secondaryRadiusSolar	primaryTeffK	secondaryTeffK	primaryLuminositySolar	secondaryLuminositySolar	notes
OGLE-LMC-ECL-01866	OGLE-LMC-ECL-01866	LMC	04:52:15.28	-68:19:10.30	18.515	0.031	0.026			-0.028	Pietrzynski+2019;Graczyk+2018	late-type detached EB			26.79	47.11	5300	4495	510	816	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-03160	OGLE-LMC-ECL-03160	LMC	04:55:51.48	-69:13:48.00	18.474	0.013	0.026			-0.038	Pietrzynski+2019;Graczyk+2018	late-type detached EB			17.03	37.42	4930	4450	154	495	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-05430	OGLE-LMC-ECL-05430	LMC	05:01:51.74	-69:12:48.80	18.522	0.012	0.026			-0.028	Pietrzynski+2019;Graczyk+2018	late-type detached EB			28.99	34.64	4710	4760	373	555	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-06575	OGLE-LMC-ECL-06575	LMC	05:04:32.87	-69:20:51.00	18.483	0.011	0.026			-0.026	Pietrzynski+2019;Graczyk+2018	late-type detached EB			43.93	46.75	4920	4645	1020	918	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-09114	OGLE-LMC-ECL-09114	LMC	05:10:19.64	-68:58:12.20	18.490	0.028	0.026			-0.009	Pietrzynski+2019;Graczyk+2018	late-type detached EB			26.33	18.79	5230	5425	467	275	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-09660	OGLE-LMC-ECL-09660	LMC	05:11:49.45	-67:05:45.20	18.465	0.019	0.026			0.029	Pietrzynski+2019;Graczyk+2018	late-type detached EB			23.66	44.40	5250	4685	383	856	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-09678	OGLE-LMC-ECL-09678	LMC	05:11:51.76	-69:31:01.10	18.501	0.018	0.026			-0.017	Pietrzynski+2019;Graczyk+2018	late-type detached EB			13.77	30.60	5230	4705	128	413	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-10567	OGLE-LMC-ECL-10567	LMC	05:14:01.89	-68:41:18.20	18.455	0.014	0.026			0.002	Pietrzynski+2019;Graczyk+2018	late-type detached EB			24.60	36.64	5065	4715	359	598	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
LMC-SC9-230659		LMC	05:14:06.04	-69:15:56.90	18.456	0.026	0.026			0.009	Pietrzynski+2019;Graczyk+2018	late-type detached EB			32.83	23.40	5000	5030	607	316	No secure OGLE-IV OCVS light-curve identifier assigned here; nearest OCVS coordinate match is too far for an automatic association.
OGLE-LMC-ECL-12669	OGLE-LMC-ECL-12669	LMC	05:19:12.80	-69:06:44.40	18.450	0.019	0.026			-0.002	Pietrzynski+2019;Graczyk+2018	late-type detached EB			24.17	23.36	4630	4715	242	243	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-12875	OGLE-LMC-ECL-12875	LMC	05:19:45.39	-69:44:38.50	18.453	0.026	0.026			-0.009	Pietrzynski+2019;Graczyk+2018	late-type detached EB			15.62	40.82	4845	4385	121	555	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-12933	OGLE-LMC-ECL-12933	LMC	05:19:53.69	-69:17:20.40	18.476	0.025	0.026			0.000	Pietrzynski+2019;Graczyk+2018	late-type detached EB			17.32	36.41	4900	4470	156	477	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-13360	OGLE-LMC-ECL-13360	LMC	05:20:59.46	-70:07:35.20	18.489	0.013	0.026			-0.004	Pietrzynski+2019;Graczyk+2018	late-type detached EB			30.46	39.46	5495	5085	762	938	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-13529	OGLE-LMC-ECL-13529	LMC	05:21:23.34	-70:33:00.00	18.498	0.016	0.026			0.005	Pietrzynski+2019;Graczyk+2018	late-type detached EB			17.03	15.98	5295	5260	205	176	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-15260	OGLE-LMC-ECL-15260	LMC	05:25:25.66	-69:33:40.50	18.453	0.034	0.026			0.003	Pietrzynski+2019;Graczyk+2018	late-type detached EB			23.22	42.20	4810	4420	260	612	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-18365	OGLE-LMC-ECL-18365	LMC	05:31:49.56	-71:13:28.30	18.479	0.021	0.026			0.033	Pietrzynski+2019;Graczyk+2018	late-type detached EB			37.30	15.94	4900	4940	723	136	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-18836	OGLE-LMC-ECL-18836	LMC	05:32:53.06	-68:59:12.30	18.473	0.018	0.026			0.026	Pietrzynski+2019;Graczyk+2018	late-type detached EB			15.95	30.87	5155	4605	162	386	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-21873	OGLE-LMC-ECL-21873	LMC	05:39:51.19	-67:53:00.50	18.445	0.014	0.026			0.059	Pietrzynski+2019;Graczyk+2018	late-type detached EB			20.26	24.67	5265	5055	284	358	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-24887	OGLE-LMC-ECL-24887	LMC	05:50:39.02	-69:14:20.70	18.515	0.023	0.026			0.045	Pietrzynski+2019;Graczyk+2018	late-type detached EB			16.43	17.83	5130	5070	168	189	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
OGLE-LMC-ECL-25658	OGLE-LMC-ECL-25658	LMC	06:01:58.77	-68:30:55.10	18.423	0.016	0.026			0.076	Pietrzynski+2019;Graczyk+2018	late-type detached EB			21.40	27.61	4840	4720	226	341	Individual LMC distance from Pietrzynski et al. 2019; radii/Teff/luminosities from Graczyk et al. 2018.
SMC-ECL-0019	OGLE-SMC-ECL-00019	SMC	00:22:55.52	-73:53:16.5	19.143	0.030	0.028	67.39	0.94		Graczyk+2020	late-type detached EB	143.9982	2456673.421	16.8	18.8	5200	5105	186	216	New SMC system in Graczyk et al. 2020.
SMC-ECL-0439	OGLE-SMC-ECL-00439	SMC	00:40:21.45	-73:27:19.5	19.115	0.026	0.028	66.51	0.80		Graczyk+2020	late-type detached EB	279.3848	2455088.926	14.5	15.4	5250	5265	144	164	New SMC system in Graczyk et al. 2020.
SMC-ECL-0727	OGLE-SMC-ECL-00727	SMC	00:44:12.10	-73:17:42.0	19.105	0.023	0.028	66.23	0.71		Graczyk+2020	late-type detached EB	316.744	2455133.80	14.6	20.4	5300	4835	152	204	New SMC system in Graczyk et al. 2020.
SMC-ECL-0970	OGLE-SMC-ECL-00970	SMC	00:46:00.29	-72:39:01.0	18.985	0.020	0.028	62.66	0.58		Graczyk+2020	late-type detached EB	191.6426	2455186.538	18.4	21.1	4850	4780	169	210	New SMC system in Graczyk et al. 2020.
SMC-ECL-1492	OGLE-SMC-ECL-01492	SMC	00:48:41.92	-73:16:18.0	18.980	0.032	0.028	62.50	0.91		Graczyk+2020	late-type detached EB	73.7567	2452129.701	15.9	25.1	4980	4775	141	294	New SMC system in Graczyk et al. 2020.
SMC-ECL-1859	OGLE-SMC-ECL-01859	SMC	00:50:20.57	-73:35:37.7	19.060	0.018	0.028	64.88	0.54		Graczyk+2020	late-type detached EB	75.5805	2456568.143	16.2	18.7	5550	4950	224	189	New SMC system in Graczyk et al. 2020.
SMC-ECL-2761	OGLE-SMC-ECL-02761	SMC	00:53:31.46	-72:42:58.0	18.964	0.026	0.028	62.07	0.74		Graczyk+2020	late-type detached EB	150.4410	2452025.820	17.3	17.5	5630	5580	270	268	New SMC system in Graczyk et al. 2020.
SMC-ECL-2876	OGLE-SMC-ECL-02876	SMC	00:53:58.59	-71:37:21.1	18.980	0.024	0.028	62.53	0.70		Graczyk+2020	late-type detached EB	120.9087	2456682.792	16.5	17.3	5560	5150	235	190	New SMC system in Graczyk et al. 2020.
SMC-ECL-3529	OGLE-SMC-ECL-03529	SMC	00:57:05.35	-73:15:10.8	18.897	0.029	0.028	60.18	0.79		Graczyk+2020	late-type detached EB	234.4648	2455039.612	12.6	21.1	5835	5290	166	315	New SMC system in Graczyk et al. 2020.
SMC-ECL-3678	OGLE-SMC-ECL-03678	SMC	00:57:49.59	-73:15:46.5	18.973	0.021	0.028	62.30	0.61		Graczyk+2020	late-type detached EB	187.9557	2452023.894	31.2	42.6	6650	4980	1715	1007	New SMC system in Graczyk et al. 2020.
SMC-ECL-1421	OGLE-SMC-ECL-01421	SMC	00:48:22.70	-72:48:48.6	18.963	0.023	0.028	62.03	0.64		Graczyk+2020	late-type detached EB			17.7	23.8	5395	5020	240	325	Previously studied SMC101.8 14077, recalculated in Graczyk et al. 2020.
SMC-ECL-0195	OGLE-SMC-ECL-00195	SMC	00:33:47.90	-73:04:28.0	18.895	0.024	0.028	60.13	0.68		Graczyk+2020;Graczyk+2014	late-type detached EB			25.44	46.00	4912	4515	338	790	Previously studied SMC130.5 4296, recalculated in Graczyk et al. 2020.
SMC-ECL-0708	OGLE-SMC-ECL-00708	SMC	00:44:02.68	-72:54:22.5	18.927	0.025	0.028	61.01	0.69		Graczyk+2020;Graczyk+2014	late-type detached EB			43.52	39.00	4480	4510	685	565	Previously studied SMC126.1 210, recalculated in Graczyk et al. 2020.
SMC-ECL-4152	OGLE-SMC-ECL-04152	SMC	01:00:18.10	-72:24:07.1	19.028	0.022	0.028	63.93	0.63		Graczyk+2020;Graczyk+2014	late-type detached EB			46.95	64.05	5675	4955	2055	2220	Previously studied SMC108.1 14904, recalculated in Graczyk et al. 2020.
SMC-ECL-5123	OGLE-SMC-ECL-05123	SMC	01:06:10.33	-72:06:25.2	18.792	0.020	0.028	57.33	0.53		Graczyk+2020;Graczyk+2012	late-type detached EB			45.8	48.4	4800	4813	1000	1130	Previously studied SMC113.3 4007, recalculated in Graczyk et al. 2020.
